participant_id,session,task_version,trial_type,t_onset_s,seed,trial,swap_count,position1,position2,position3,p_reward_pos1,p_reward_pos2,p_reward_pos3,choice,chosen_logo,rt_s,choice_late,outcome,points,optimal_position,is_optimal,optimal_points,regret,cumulative_score,anticip_ms,isi_ms,cf_outcome_pos1,cf_outcome_pos2,cf_outcome_pos3,cf_points_pos1,cf_points_pos2,cf_points_pos3,bonus_trial_index,position_in_bandit_stream,food_set,cue_type,food_bonus_cue,cue_image,cue_duration_ms,anticipatory_delay_ms,adaptive_window_ms,target_response_key,target_rt_ms,premature_rt_ms,target_hit,target_miss,target_too_fast,target_no_response,bonus_points_earned,bonus_cumulative,bonus_hit_rate,cue_onset_ms,delay_onset_ms,target_onset_ms,response_ms,feedback_onset_ms,trigger_code
001,001,v12,bandit,0.0,3616709992,1,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.6657,0,loss,-10,1,0,10,20,-10,678,435,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,3.8494,3616709992,2,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4326,0,reward,10,1,1,10,0,0,484,668,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,7.6827,3616709992,3,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3763,0,reward,10,1,1,10,0,10,503,583,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,11.4327,3616709992,4,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4071,0,reward,10,1,1,10,0,20,624,402,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,15.166,3616709992,5,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.0798,0,reward,10,1,1,10,0,30,610,659,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,18.7161,3616709992,6,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.2524,0,reward,10,1,1,10,0,40,621,524,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,22.3493,3616709992,7,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.2482,0,reward,10,1,1,10,0,50,571,657,reward,reward,reward,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,26.0826,3616709992,8,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.7058,0,loss,-10,1,1,-10,0,40,568,673,loss,reward,loss,-10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bonus_food,30.1326,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,sweet,food_sweet,1,stimuli/win/sweet/sweet_bandit_111.jpg,1500,1981,450,down,599,,0,1,0,0,0,0,0.0,1083,2617,4617,5216,5220,bonus_feedback
001,001,v12,bandit,36.8829,3616709992,9,0,circle,triangle,heart,0.8,0.5,0.3,3,heart,1.1494,0,loss,-10,1,0,10,20,30,538,527,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,41.1659,3616709992,10,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.282,0,reward,10,1,0,10,0,40,426,613,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,44.7325,3616709992,11,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.2542,0,reward,10,1,0,10,0,50,619,445,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,48.2659,3616709992,12,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.2358,0,loss,-10,1,0,10,20,40,437,548,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,51.5659,3616709992,13,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.2897,0,loss,-10,1,1,-10,0,30,698,546,loss,reward,loss,-10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,55.1659,3616709992,14,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.2417,0,reward,10,1,0,-10,-20,40,489,480,loss,reward,loss,-10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,58.6659,3616709992,15,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.2835,0,reward,10,1,0,-10,-20,50,697,555,loss,reward,loss,-10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,62.4658,3616709992,16,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.2564,0,reward,10,1,0,10,0,60,445,471,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bonus_food,65.8492,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,sweet,food_sweet,1,stimuli/win/sweet/sweet_bandit_126.jpg,1500,2406,480,down,243,,1,0,0,0,15,15,0.5,1117,2633,5067,5310,5320,response
001,001,v12,bandit,72.6828,3616709992,17,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,1.271,0,reward,10,1,1,10,0,70,529,450,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,77.1991,3616709992,18,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4873,0,reward,10,1,1,10,0,80,492,525,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,80.9491,3616709992,19,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4852,0,loss,-10,1,1,-10,0,70,519,548,loss,reward,reward,-10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,84.599,3616709992,20,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.4681,0,loss,-10,1,0,10,20,60,466,582,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,88.1657,3616709992,21,0,circle,triangle,heart,0.8,0.5,0.3,3,heart,0.3894,0,loss,-10,1,0,10,20,50,585,589,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,91.799,3616709992,22,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.31,0,reward,10,1,1,10,0,60,779,579,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,95.7157,3616709992,23,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4862,0,reward,10,1,1,10,0,70,703,511,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bonus_neutral,99.699,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23,sweet,neutral,0,stimuli/neutral/scramble_bandit_19.jpg,1500,2569,465,down,287,,1,0,0,0,15,30,0.667,1100,2633,5233,5520,5536,response
001,001,v12,bandit,106.7659,3616709992,24,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.8821,0,reward,10,1,1,10,0,80,743,506,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,111.1489,3616709992,25,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.8075,0,reward,10,1,1,10,0,90,488,433,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,115.1656,3616709992,26,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.6437,0,reward,10,1,1,10,0,100,655,546,reward,reward,reward,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,119.2655,3616709992,27,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5276,0,reward,10,1,1,10,0,110,410,622,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bonus_food,123.0822,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,27,sweet,food_sweet,1,stimuli/win/sweet/sweet_bandit_073.jpg,1500,2503,450,left,,189,0,0,1,0,0,30,0.5,1100,0,0,1289,1304,bonus_feedback
001,001,v12,bandit,125.9159,3616709992,28,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,7.0565,1,loss,-10,1,1,-10,0,100,623,660,loss,loss,loss,-10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,136.3488,3616709992,29,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,1.5688,0,loss,-10,1,0,10,20,90,627,687,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,141.2988,3616709992,30,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3957,0,reward,10,1,1,10,0,100,564,612,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,145.1154,3616709992,31,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4139,0,reward,10,1,1,10,0,110,629,447,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,148.882,3616709992,32,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3982,0,reward,10,1,1,10,0,120,560,637,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,152.6986,3616709992,33,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4694,0,reward,10,1,1,10,0,130,625,464,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,156.4987,3616709992,34,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,1.2704,0,reward,10,1,1,10,0,140,692,604,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bonus_neutral,161.332,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,34,sweet,neutral,0,stimuli/neutral/scramble_bandit_22.jpg,1500,2853,450,down,298,,1,0,0,0,15,45,0.6,1100,2617,5500,5798,5805,response
001,001,v12,bandit,168.6656,3616709992,35,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,1.5164,0,loss,-10,1,0,10,20,130,720,600,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,173.5653,3616709992,36,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3652,0,reward,10,1,1,10,0,140,636,599,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,177.4319,3616709992,37,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3705,0,reward,10,1,1,10,0,150,678,665,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,181.432,3616709992,38,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3104,0,reward,10,1,1,10,0,160,704,410,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,185.0819,3616709992,39,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.353,0,reward,10,1,1,10,0,170,629,675,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,188.9819,3616709992,40,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.2552,0,reward,10,1,1,10,0,180,771,537,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bonus_food,192.8152,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,40,sweet,food_sweet,1,stimuli/win/sweet/sweet_bandit_073.jpg,1500,2972,435,left,427,,1,0,0,0,15,60,0.667,1100,2633,5633,6060,6070,response
001,001,v12,bandit,200.3988,3616709992,41,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.9756,0,reward,10,1,1,10,0,190,509,665,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,204.8151,3616709992,42,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.6371,0,loss,-10,1,1,-10,0,180,737,512,loss,reward,loss,-10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,208.7984,3616709992,43,0,circle,triangle,heart,0.8,0.5,0.3,3,heart,0.3346,0,loss,-10,1,0,10,20,170,565,458,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,212.215,3616709992,44,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.2349,0,loss,-10,1,0,10,20,160,408,454,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,215.3984,3616709992,45,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.2495,0,reward,10,1,1,10,0,170,764,493,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,219.165,3616709992,46,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3617,0,loss,-10,1,1,-10,0,160,544,634,loss,loss,loss,-10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bonus_food,222.7984,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,46,sweet,food_sweet,1,stimuli/win/sweet/sweet_bandit_061.jpg,1500,2759,420,down,239,,1,0,0,0,15,75,0.714,1117,2650,5433,5672,5685,response
001,001,v12,bandit,230.0152,3616709992,47,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5495,0,reward,10,1,1,10,0,170,565,631,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,234.015,3616709992,48,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3973,0,reward,10,1,1,10,0,180,528,512,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,237.6983,3616709992,49,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5279,0,reward,10,1,1,10,0,190,611,663,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,241.8816,3616709992,50,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5701,0,loss,-10,1,1,-10,0,180,549,524,loss,reward,loss,-10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bonus_neutral,245.6148,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,50,sweet,neutral,0,stimuli/neutral/scramble_bandit_12.jpg,1500,2448,405,down,237,,1,0,0,0,15,90,0.75,1100,2617,5083,5320,5335,response
001,001,v12,bandit,252.4818,3616709992,51,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.9397,0,reward,10,1,1,10,0,190,526,584,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,256.8148,3616709992,52,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4681,0,reward,10,1,1,10,0,200,699,414,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,260.6315,3616709992,53,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5044,0,reward,10,1,1,10,0,210,636,477,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,264.5148,3616709992,54,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5379,0,reward,10,1,1,10,0,220,599,536,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,268.4481,3616709992,55,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.2545,0,reward,10,1,1,10,0,230,494,658,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,272.1314,3616709992,56,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5011,0,reward,10,1,1,10,0,240,621,578,reward,reward,reward,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bonus_food,276.1481,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,56,sweet,food_sweet,1,stimuli/win/sweet/sweet_bandit_119.jpg,1500,2453,390,left,243,,1,0,0,0,15,105,0.778,1116,2633,5117,5360,5368,response
001,001,v12,bandit,283.0483,3616709992,57,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5118,0,reward,10,1,1,10,0,250,784,602,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,287.2314,3616709992,58,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3703,0,reward,10,1,1,10,0,260,527,485,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,290.8647,3616709992,59,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3592,0,reward,10,1,1,10,0,270,436,652,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,294.598,3616709992,60,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5874,0,reward,10,1,1,10,0,280,708,645,reward,reward,reward,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,298.8146,3616709992,61,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3976,0,loss,-10,1,1,-10,0,270,765,576,loss,loss,reward,-10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,302.6313,3616709992,62,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,1.1954,0,loss,-10,1,0,10,20,260,758,586,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,307.2479,3616709992,63,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4073,0,reward,10,1,1,10,0,270,793,686,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,311.4145,3616709992,64,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4097,0,reward,10,1,1,10,0,280,693,690,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bonus_neutral,315.5311,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,64,sweet,neutral,0,stimuli/neutral/scramble_bandit_25.jpg,1500,2431,375,down,253,,1,0,0,0,15,120,0.8,1100,2617,5067,5320,5335,response
